frequency;V(/Different_topology/VOUT) (phase);V(/Different_topology/VOUT) (gain);
5.37032e+07;104.837;92.5818;
5.49541e+07;105.186;91.9952;
5.62341e+07;105.54;91.4091;
5.7544e+07;105.9;90.8237;
5.88844e+07;106.266;90.2389;
6.0256e+07;106.639;89.6549;
6.16595e+07;107.017;89.0715;
6.30957e+07;107.402;88.489;
6.45654e+07;107.793;87.9071;
6.60693e+07;108.191;87.3261;
6.76083e+07;108.595;86.7459;
6.91831e+07;109.006;86.1666;
7.07946e+07;109.424;85.5882;
7.24436e+07;109.849;85.0107;
7.4131e+07;110.281;84.4341;
7.58578e+07;110.72;83.8586;
7.76247e+07;111.167;83.284;
7.94328e+07;111.62;82.7105;
8.12831e+07;112.081;82.1381;
8.31764e+07;112.549;81.5669;
8.51138e+07;113.025;80.9968;
8.70964e+07;113.507;80.4279;
8.91251e+07;113.997;79.8603;
9.12011e+07;114.495;79.2939;
9.33254e+07;114.999;78.7288;
9.54993e+07;115.511;78.1652;
9.77237e+07;116.03;77.6029;
1e+08;116.557;77.042;
1.02329e+08;117.09;76.4827;
1.04713e+08;117.631;75.9248;
1.07152e+08;118.178;75.3685;
1.09648e+08;118.732;74.8139;
1.12202e+08;119.293;74.2608;
1.14815e+08;119.861;73.7095;
1.1749e+08;120.436;73.1598;
1.20226e+08;121.016;72.612;
1.23027e+08;121.603;72.0659;
1.25893e+08;122.196;71.5217;
1.28825e+08;122.795;70.9793;
1.31826e+08;123.399;70.4389;
1.34896e+08;124.009;69.9004;
1.38038e+08;124.624;69.3639;
1.41254e+08;125.244;68.8294;
1.44544e+08;125.868;68.2969;
1.47911e+08;126.497;67.7666;
1.51356e+08;127.131;67.2383;
1.54882e+08;127.768;66.7122;
1.58489e+08;128.409;66.1882;
1.62181e+08;129.053;65.6664;
1.65959e+08;129.701;65.1469;
1.69824e+08;130.351;64.6295;
1.7378e+08;131.003;64.1144;
1.77828e+08;131.658;63.6016;
1.8197e+08;132.314;63.0911;
1.86209e+08;132.971;62.5828;
1.90546e+08;133.63;62.0768;
1.94984e+08;134.289;61.5731;
1.99526e+08;134.949;61.0717;
2.04174e+08;135.609;60.5727;
2.0893e+08;136.268;60.0759;
2.13796e+08;136.927;59.5814;
2.18776e+08;137.585;59.0892;
2.23872e+08;138.241;58.5993;
2.29087e+08;138.896;58.1117;
2.34423e+08;139.548;57.6264;
2.39883e+08;140.198;57.1433;
2.45471e+08;140.846;56.6624;
2.51189e+08;141.49;56.1837;
2.5704e+08;142.131;55.7072;
2.63027e+08;142.769;55.2329;
2.69153e+08;143.402;54.7607;
2.75423e+08;144.032;54.2906;
2.81838e+08;144.657;53.8227;
2.88403e+08;145.277;53.3567;
2.95121e+08;145.892;52.8928;
3.01995e+08;146.502;52.4309;
3.0903e+08;147.106;51.9709;
3.16228e+08;147.705;51.5128;
3.23594e+08;148.298;51.0566;
3.31131e+08;148.885;50.6023;
3.38844e+08;149.465;50.1498;
3.46737e+08;150.039;49.699;
3.54813e+08;150.607;49.25;
3.63078e+08;151.168;48.8026;
3.71535e+08;151.722;48.3569;
3.80189e+08;152.269;47.9128;
3.89045e+08;152.808;47.4702;
3.98107e+08;153.341;47.0292;
4.0738e+08;153.866;46.5896;
4.16869e+08;154.384;46.1515;
4.2658e+08;154.895;45.7148;
4.36516e+08;155.398;45.2795;
4.46684e+08;155.894;44.8455;
4.57088e+08;156.382;44.4127;
4.67735e+08;156.862;43.9812;
4.7863e+08;157.335;43.5509;
4.89779e+08;157.801;43.1218;
5.01187e+08;158.258;42.6938;
5.12861e+08;158.708;42.2669;
5.24807e+08;159.151;41.841;
5.37032e+08;159.586;41.4162;
5.49541e+08;160.014;40.9923;
5.62341e+08;160.434;40.5694;
5.7544e+08;160.846;40.1474;
5.88844e+08;161.251;39.7263;
6.0256e+08;161.649;39.3061;
6.16595e+08;162.04;38.8867;
6.30957e+08;162.423;38.468;
6.45654e+08;162.8;38.0502;
6.60693e+08;163.169;37.633;
6.76083e+08;163.531;37.2166;
6.91831e+08;163.886;36.8009;
7.07946e+08;164.234;36.3858;
7.24436e+08;164.576;35.9713;
7.4131e+08;164.911;35.5575;
7.58578e+08;165.239;35.1442;
7.76247e+08;165.561;34.7315;
7.94328e+08;165.876;34.3193;
8.12831e+08;166.185;33.9076;
8.31764e+08;166.488;33.4965;
8.51138e+08;166.785;33.0858;
8.70964e+08;167.075;32.6756;
8.91251e+08;167.36;32.2658;
9.12011e+08;167.639;31.8564;
9.33254e+08;167.912;31.4474;
9.54993e+08;168.179;31.0388;
9.77237e+08;168.441;30.6306;
1e+09;168.697;30.2228;
1.02329e+09;168.948;29.8153;
1.04713e+09;169.194;29.4081;
1.07152e+09;169.434;29.0012;
1.09648e+09;169.669;28.5946;
1.12202e+09;169.899;28.1883;
1.14815e+09;170.125;27.7823;
1.1749e+09;170.345;27.3765;
1.20226e+09;170.561;26.971;
1.23027e+09;170.772;26.5658;
1.25893e+09;170.979;26.1607;
1.28825e+09;171.181;25.7559;
1.31826e+09;171.378;25.3513;
1.34896e+09;171.572;24.9469;
1.38038e+09;171.761;24.5427;
1.41254e+09;171.946;24.1387;
1.44544e+09;172.127;23.7349;
1.47911e+09;172.304;23.3312;
1.51356e+09;172.477;22.9277;
1.54882e+09;172.646;22.5243;
1.58489e+09;172.812;22.1211;
1.62181e+09;172.974;21.7181;
1.65959e+09;173.132;21.3152;
1.69824e+09;173.287;20.9124;
1.7378e+09;173.439;20.5097;
1.77828e+09;173.587;20.1071;
1.8197e+09;173.732;19.7047;
1.86209e+09;173.873;19.3024;
1.90546e+09;174.012;18.9001;
1.94984e+09;174.147;18.498;
1.99526e+09;174.279;18.096;
2.04174e+09;174.409;17.694;
2.0893e+09;174.535;17.2922;
2.13796e+09;174.659;16.8904;
2.18776e+09;174.78;16.4887;
2.23872e+09;174.898;16.0871;
2.29087e+09;175.013;15.6855;
2.34423e+09;175.126;15.2841;
2.39883e+09;175.237;14.8827;
2.45471e+09;175.344;14.4813;
2.51189e+09;175.45;14.08;
2.5704e+09;175.553;13.6788;
2.63027e+09;175.654;13.2776;
2.69153e+09;175.752;12.8765;
2.75423e+09;175.849;12.4754;
2.81838e+09;175.943;12.0744;
2.88403e+09;176.035;11.6734;
2.95121e+09;176.125;11.2725;
3.01995e+09;176.213;10.8716;
3.0903e+09;176.299;10.4707;
3.16228e+09;176.383;10.0699;
3.23594e+09;176.465;9.66914;
3.31131e+09;176.545;9.2684;
3.38844e+09;176.623;8.86769;
3.46737e+09;176.7;8.46701;
3.54813e+09;176.775;8.06636;
3.63078e+09;176.848;7.66574;
3.71535e+09;176.92;7.26515;
3.80189e+09;176.99;6.86459;
3.89045e+09;177.058;6.46405;
3.98107e+09;177.125;6.06353;
4.0738e+09;177.19;5.66304;
4.16869e+09;177.254;5.26257;
4.2658e+09;177.316;4.86212;
4.36516e+09;177.377;4.4617;
4.46684e+09;177.437;4.06129;
4.57088e+09;177.495;3.6609;
4.67735e+09;177.552;3.26052;
4.7863e+09;177.607;2.86017;
4.89779e+09;177.662;2.45983;
5.01187e+09;177.715;2.0595;
5.12861e+09;177.767;1.65919;
5.24807e+09;177.818;1.25889;
5.37032e+09;177.867;0.858611;
5.49541e+09;177.916;0.458341;
5.62341e+09;177.963;0.0580826;
5.7544e+09;178.009;-0.342164;
5.88844e+09;178.054;-0.7424;
6.0256e+09;178.098;-1.14262;
6.16595e+09;178.142;-1.54284;
6.30957e+09;178.184;-1.94304;
6.45654e+09;178.225;-2.34324;
6.60693e+09;178.265;-2.74343;
6.76083e+09;178.305;-3.14361;
6.91831e+09;178.343;-3.54378;
7.07946e+09;178.381;-3.94394;
7.24436e+09;178.418;-4.3441;
7.4131e+09;178.453;-4.74425;
7.58578e+09;178.489;-5.14439;
7.76247e+09;178.523;-5.54452;
7.94328e+09;178.556;-5.94465;
8.12831e+09;178.589;-6.34478;
8.31764e+09;178.621;-6.74489;
8.51138e+09;178.652;-7.14501;
8.70964e+09;178.683;-7.54511;
8.91251e+09;178.713;-7.94522;
9.12011e+09;178.742;-8.34532;
9.33254e+09;178.77;-8.74541;
9.54993e+09;178.798;-9.1455;
9.77237e+09;178.826;-9.54559;
1e+10;178.852;-9.94567;
1.02329e+10;178.878;-10.3457;
1.04713e+10;178.904;-10.7458;
1.07152e+10;178.928;-11.1459;
1.09648e+10;178.953;-11.546;
1.12202e+10;178.976;-11.946;
1.14815e+10;178.999;-12.3461;
1.1749e+10;179.022;-12.7461;
1.20226e+10;179.044;-13.1462;
1.23027e+10;179.066;-13.5463;
1.25893e+10;179.087;-13.9463;
1.28825e+10;179.107;-14.3464;
1.31826e+10;179.128;-14.7464;
1.34896e+10;179.147;-15.1464;
1.38038e+10;179.167;-15.5465;
1.41254e+10;179.185;-15.9465;
1.44544e+10;179.204;-16.3466;
1.47911e+10;179.222;-16.7466;
1.51356e+10;179.239;-17.1466;
1.54882e+10;179.256;-17.5467;
1.58489e+10;179.273;-17.9467;
1.62181e+10;179.289;-18.3467;
1.65959e+10;179.305;-18.7468;
1.69824e+10;179.321;-19.1468;
1.7378e+10;179.336;-19.5468;
1.77828e+10;179.351;-19.9469;
1.8197e+10;179.366;-20.3469;
1.86209e+10;179.38;-20.7469;
1.90546e+10;179.394;-21.1469;
1.94984e+10;179.407;-21.5469;
1.99526e+10;179.42;-21.947;
2.04174e+10;179.433;-22.347;
2.0893e+10;179.446;-22.747;
2.13796e+10;179.458;-23.147;
2.18776e+10;179.47;-23.547;
2.23872e+10;179.482;-23.9471;
2.29087e+10;179.494;-24.3471;
2.34423e+10;179.505;-24.7471;
2.39883e+10;179.516;-25.1471;
2.45471e+10;179.526;-25.5471;
2.51189e+10;179.537;-25.9471;
2.5704e+10;179.547;-26.3471;
2.63027e+10;179.557;-26.7472;
2.69153e+10;179.567;-27.1472;
2.75423e+10;179.576;-27.5472;
2.81838e+10;179.586;-27.9472;
2.88403e+10;179.595;-28.3472;
2.95121e+10;179.604;-28.7472;
3.01995e+10;179.612;-29.1472;
3.0903e+10;179.621;-29.5472;
3.16228e+10;179.629;-29.9472;
3.23594e+10;179.637;-30.3472;
3.31131e+10;179.645;-30.7472;
3.38844e+10;179.652;-31.1473;
3.46737e+10;179.66;-31.5473;
3.54813e+10;179.667;-31.9473;
3.63078e+10;179.674;-32.3473;
3.71535e+10;179.681;-32.7473;
3.80189e+10;179.688;-33.1473;
3.89045e+10;179.695;-33.5473;
3.98107e+10;179.701;-33.9473;
4.0738e+10;179.707;-34.3473;
4.16869e+10;179.713;-34.7473;
4.2658e+10;179.719;-35.1473;
4.36516e+10;179.725;-35.5473;
4.46684e+10;179.731;-35.9473;
4.57088e+10;179.736;-36.3473;
4.67735e+10;179.742;-36.7473;
4.7863e+10;179.747;-37.1473;
4.89779e+10;179.752;-37.5473;
5.01187e+10;179.757;-37.9473;
5.12861e+10;179.762;-38.3473;
5.24807e+10;179.767;-38.7473;
5.37032e+10;179.771;-39.1473;
5.49541e+10;179.776;-39.5473;
5.62341e+10;179.78;-39.9473;
5.7544e+10;179.785;-40.3473;
5.88844e+10;179.789;-40.7474;
6.0256e+10;179.793;-41.1474;
6.16595e+10;179.797;-41.5474;
6.30957e+10;179.8;-41.9474;
6.45654e+10;179.804;-42.3474;
6.60693e+10;179.808;-42.7474;
6.76083e+10;179.811;-43.1474;
6.91831e+10;179.815;-43.5474;
7.07946e+10;179.818;-43.9474;
7.24436e+10;179.821;-44.3474;
7.4131e+10;179.824;-44.7474;
7.58578e+10;179.827;-45.1474;
7.76247e+10;179.83;-45.5474;
7.94328e+10;179.833;-45.9474;
8.12831e+10;179.836;-46.3474;
8.31764e+10;179.838;-46.7474;
8.51138e+10;179.841;-47.1474;
8.70964e+10;179.844;-47.5474;
8.91251e+10;179.846;-47.9474;
9.12011e+10;179.848;-48.3474;
9.33254e+10;179.851;-48.7474;
9.54993e+10;179.853;-49.1474;
9.77237e+10;179.855;-49.5474;
1e+11;179.857;-49.9474;
1.02329e+11;179.859;-50.3474;
1.04713e+11;179.861;-50.7474;
1.07152e+11;179.862;-51.1474;
1.09648e+11;179.864;-51.5474;
1.12202e+11;179.866;-51.9474;
1.14815e+11;179.867;-52.3474;
1.1749e+11;179.869;-52.7474;
1.20226e+11;179.87;-53.1474;
1.23027e+11;179.872;-53.5474;
1.25893e+11;179.873;-53.9474;
1.28825e+11;179.874;-54.3474;
1.31826e+11;179.875;-54.7474;
1.34896e+11;179.876;-55.1474;
1.38038e+11;179.877;-55.5474;
1.41254e+11;179.878;-55.9474;
1.44544e+11;179.879;-56.3474;
1.47911e+11;179.88;-56.7474;
1.51356e+11;179.881;-57.1474;
1.54882e+11;179.882;-57.5474;
1.58489e+11;179.882;-57.9474;
1.62181e+11;179.883;-58.3474;
1.65959e+11;179.883;-58.7474;
1.69824e+11;179.884;-59.1474;
1.7378e+11;179.884;-59.5474;
1.77828e+11;179.885;-59.9474;
1.8197e+11;179.885;-60.3474;
1.86209e+11;179.885;-60.7474;
1.90546e+11;179.885;-61.1474;
1.94984e+11;179.885;-61.5474;
1.99526e+11;179.885;-61.9474;
2.04174e+11;179.885;-62.3474;
2.0893e+11;179.885;-62.7474;
2.13796e+11;179.885;-63.1474;
2.18776e+11;179.885;-63.5474;
2.23872e+11;179.885;-63.9474;
2.29087e+11;179.884;-64.3474;
2.34423e+11;179.884;-64.7474;
2.39883e+11;179.884;-65.1474;
2.45471e+11;179.883;-65.5474;
2.51189e+11;179.882;-65.9474;
2.5704e+11;179.882;-66.3474;
2.63027e+11;179.881;-66.7474;
2.69153e+11;179.88;-67.1474;
2.75423e+11;179.879;-67.5474;
2.81838e+11;179.879;-67.9474;
2.88403e+11;179.878;-68.3474;
2.95121e+11;179.877;-68.7474;
3.01995e+11;179.876;-69.1474;
3.0903e+11;179.874;-69.5474;
3.16228e+11;179.873;-69.9474;
3.23594e+11;179.872;-70.3474;
3.31131e+11;179.871;-70.7474;
3.38844e+11;179.869;-71.1474;
3.46737e+11;179.868;-71.5474;
3.54813e+11;179.866;-71.9474;
3.63078e+11;179.864;-72.3474;
3.71535e+11;179.863;-72.7474;
3.80189e+11;179.861;-73.1474;
3.89045e+11;179.859;-73.5474;
3.98107e+11;179.857;-73.9474;
4.0738e+11;179.855;-74.3474;
4.16869e+11;179.853;-74.7474;
4.2658e+11;179.851;-75.1474;
4.36516e+11;179.849;-75.5474;
4.46684e+11;179.846;-75.9474;
4.57088e+11;179.844;-76.3474;
4.67735e+11;179.841;-76.7474;
4.7863e+11;179.839;-77.1474;
4.89779e+11;179.836;-77.5474;
5.01187e+11;179.833;-77.9474;
5.12861e+11;179.831;-78.3474;
5.24807e+11;179.828;-78.7474;
5.37032e+11;179.825;-79.1474;
5.49541e+11;179.822;-79.5474;
5.62341e+11;179.818;-79.9474;
5.7544e+11;179.815;-80.3474;
5.88844e+11;179.812;-80.7474;
6.0256e+11;179.808;-81.1474;
6.16595e+11;179.805;-81.5474;
6.30957e+11;179.801;-81.9474;
6.45654e+11;179.797;-82.3474;
6.60693e+11;179.793;-82.7474;
6.76083e+11;179.789;-83.1474;
6.91831e+11;179.785;-83.5473;
7.07946e+11;179.781;-83.9473;
7.24436e+11;179.777;-84.3473;
7.4131e+11;179.772;-84.7473;
7.58578e+11;179.767;-85.1473;
7.76247e+11;179.763;-85.5473;
7.94328e+11;179.758;-85.9473;
8.12831e+11;179.753;-86.3473;
8.31764e+11;179.748;-86.7473;
8.51138e+11;179.743;-87.1473;
8.70964e+11;179.737;-87.5473;
8.91251e+11;179.732;-87.9473;
9.12011e+11;179.726;-88.3473;
9.33254e+11;179.72;-88.7473;
9.54993e+11;179.714;-89.1473;
9.77237e+11;179.708;-89.5473;
1e+12;179.702;-89.9473;
